wh, wp, sojourn_edge, sojourn_corner
0.0, 0.0, 4308.35, NaN
0.1, 0.1, 4338.57, NaN
0.2, 0.2, 4444.66, 6115.18
0.2, 0.4, 4155.33, NaN
0.2, 0.6, 3590.88, NaN
0.2, 0.8, 3068.2,  NaN
0.2, 1,   2620.39, NaN
0.3, 0.3, 4669.63, 5877.61
0.3, 0.4, 4723.78, NaN
0.3, 0.5, 4635.23, NaN
0.3, 0.6, 4471.17, NaN
0.4, 0.2, 4155.33, NaN
0.4, 0.3, 4723.78, NaN
0.4, 0.4, 5107.65, 6050.07
0.4, 0.5, 5336.27, NaN
0.4, 0.6, 5445.24, NaN
0.4, 0.8, 5460.55, NaN
0.4, 1,   5408.85, NaN
0.5, 0.3, 4635.23, NaN
0.5, 0.4, 5336.27, NaN
0.5, 0.5, 5990.79, NaN
0.5, 0.6, 6599.34, NaN
0.6, 0.2, 3590.88, NaN
0.6, 0.3, 4471.17, NaN
0.6, 0.4, 5445.24, NaN
0.6, 0.5, 6599.34, NaN
0.6, 0.6, 8024.95, 8667.13
0.6, 0.8, 11951.1, NaN
0.6, 1,   17803.4, NaN
0.8, 0.2, 3068.2,  NaN
0.8, 0.4, 5460.55, NaN
0.8, 0.6, 11951.1, NaN
0.8, 0.8, 42549.3, NaN
0.8, 1,   178062., NaN
1,   0.2, 2620.39, NaN
1,   0.4, 5408.85, NaN
1,   0.6, 17803.4, NaN
1,   0.8, 178062., NaN
1,   1,   5998992.7, NaN
