wh, wp, sojourn_edge
0.2, 0.2, 19501.4
0.2, 0.4, 17593.1
0.2, 0.6, 15255.4
0.2, 0.8, 13443.3
0.2, 1,   12053.9
0.4, 0.2, 17593.1
0.4, 0.4, 19488.8
0.4, 0.6, 18707.6
0.4, 0.8, 17380.8
0.4, 1,   16097.3
0.6, 0.2, 15255.4
0.6, 0.4, 18707.6
0.6, 0.6, 19461.1
0.6, 0.8, 19028.6
0.6, 1,   18184.7
0.8, 0.2, 13443.3
0.8, 0.4, 17380.8
0.8, 0.6, 19028.6
0.8, 0.8, 19420.9
0.8, 1,   19138.7
1,   0.2, 12053.9
1,   0.4, 16097.3
1,   0.6, 18184.7
1,   0.8, 19138.7
1,   1,   19368.8
