wh, wp, sojourn_edge, sojourn_corner
0.0, 0.0, 9730.49, NaN
0.1, 0.1, 9837.12, NaN
0.2, 0.2, 10211.3, 13004.3
0.2, 0.4, 9541.75, NaN
0.2, 0.6, 8223.46, NaN
0.2, 0.8, 7050.7, NaN
0.2, 1,   6063.83, NaN
0.3, 0.3, 11042.7, NaN
0.3, 0.4, 11360.5, NaN
0.3, 0.5, 11297.3, NaN
0.3, 0.6, 11046.0, NaN
0.3, 0.7, 10726.2, NaN
0.4, 0.2, 9541.75, NaN
0.4, 0.3, 11360.5, NaN
0.4, 0.4, 12813.9, 14356.4
0.4, 0.5, 13947.7, NaN
0.4, 0.6, 14831.5, NaN
0.4, 0.7, 15586.3, NaN
0.4, 0.8, 16342.1, NaN
0.4, 1,   18243.9, NaN
0.5, 0.3, 11297.3, NaN
0.5, 0.4, 13947.7, NaN
0.5, 0.5, 17024.6, NaN
0.5, 0.6, 20626.0, NaN
0.5, 0.7, 24840.2, NaN
0.6, 0.2, 8223.46, NaN
0.6, 0.3, 11046.0, NaN
0.6, 0.4, 14831.5, NaN
0.6, 0.5, 20626.0, NaN
0.6, 0.6, 30131.8, 31170.6
0.6, 0.7, 45682.4, NaN
0.6, 0.8, 69907.4, NaN
0.6, 1,   159882., NaN
0.7, 0.3, 10726.2, NaN
0.7, 0.4, 15586.3, NaN
0.7, 0.5, 24840.2, NaN
0.7, 0.6, 45682.4, NaN
0.7, 0.7, 97243.7, NaN
0.8, 0.2, 7050.7, NaN
0.8, 0.4, 16342.1, NaN
0.8, 0.6, 69907.4, NaN
0.8, 0.8, 858126., NaN
0.8, 1,   8880610., NaN
1,   0.2, 6063.83, NaN
1,   0.4, 18243.9, NaN
1,   0.6, 159882., NaN
1,   0.8, 8880610., NaN
1,   1,  2862229065.66, NaN
