wh, wp, sojourn_edge
0.2, 0.2, 2132.02
0.2, 0.4, 1980.06
0.2, 0.6, 1760.39
0.2, 0.8, 1573.95
0.2, 1,   1424.51
0.4, 0.2, 1980.06
0.4, 0.4, 2131.59
0.4, 0.6, 2062.42
0.4, 0.8, 1936.04
0.4, 1,   1805.88
0.6, 0.2, 1760.39
0.6, 0.4, 2062.42
0.6, 0.6, 2128.88
0.6, 0.8, 2089.04
0.6, 1,   2007.8
0.8, 0.2, 1573.95
0.8, 0.4, 1936.04
0.8, 0.6, 2089.04
0.8, 0.8, 2124.57
0.8, 1,   2097.76
1,   0.2, 1424.51
1,   0.4, 1805.88
1,   0.6, 2007.8
1,   0.8, 2097.76
1,   1,   2118.85
